CONUM,CONAME,PMK,MARGIN,LOG(PMK),LOG(MAR),WINPARTY,TYPE1,TYPE2,RECTPOS,INDEX,CONAME_TAMIL,WINPARTY_TAMIL
139,Egmore,1814,10679,3.258637283,4.028530587,DMK,Margin,PMK,743,276,எழும்பூர்,தி.மு.க
140,Thiruvarur,1787,68366,3.252124553,4.834840171,DMK,Margin,PMK,748,278,திருவாரூர்,தி.மு.க
141,Tiruchirappalli (West),1780,28415,3.250420002,4.45354766,DMK,Margin,PMK,753,280,திருச்சிராப்பள்ளி (மேற்கு),தி.மு.க
142,Tiruppur (North),1750,37774,3.243038049,4.577192976,AIADMK,Margin,PMK,758,282,திருப்பூர் (வடக்கு),அ.இ.அ.தி.மு.க
143,Sulur,1687,36631,3.227115083,4.563848775,AIADMK,Margin,PMK,763,284,சூலூர்,அ.இ.அ.தி.மு.க
144,Thiruvaiyaru,1571,14343,3.196176185,4.156639998,AIADMK,Margin,PMK,768,286,திருவைய்யாறு,தி.மு.க
145,Srirangam,1548,14409,3.189770956,4.158633841,AIADMK,Margin,PMK,773,288,ஸ்ரீரங்கம்,அ.இ.அ.தி.மு.க
146,Kangayam,1544,13135,3.188647296,4.118430077,AIADMK,Margin,PMK,778,290,காங்கேயம்,அ.இ.அ.தி.மு.க
147,Dharapuram (SC),1515,10017,3.180412633,4.000737674,INC,Margin,PMK,783,292,தாராபுரம் (தனி),இ.தே.க
148,Perundurai,1498,12771,3.175511813,4.106224905,AIADMK,Margin,PMK,788,294,பெருந்துறை,அ.இ.அ.தி.மு.க
149,Thiruverumbur,1498,16695,3.175511813,4.222586423,DMK,Margin,PMK,793,296,திருவெறும்பூர்,தி.மு.க
150,Bhavanisagar,1485,13104,3.171726454,4.117403884,AIADMK,Margin,PMK,798,298,பவானிசாகர்,அ.இ.அ.தி.மு.க
151,Avanashi (SC),1480,30674,3.170261715,4.486770413,AIADMK,Margin,PMK,803,300,அவினாசி (தனி),அ.இ.அ.தி.மு.க
152,Orathanadu,1444,3645,3.159567193,3.561697533,DMK,Margin,PMK,808,302,ஒரத்தநாடு,தி.மு.க
153,Musiri,1423,32087,3.1532049,4.506329114,AIADMK,Margin,PMK,813,304,முசிறி,அ.இ.அ.தி.மு.க
154,Karur,1376,441,3.138618434,2.644438589,AIADMK,Margin,PMK,818,306,கரூர்,அ.இ.அ.தி.மு.க
155,Sivakasi,1350,14748,3.130333768,4.168733129,AIADMK,Margin,PMK,823,308,சிவகாசி,அ.இ.அ.தி.மு.க
156,Kadayanallur,1350,1194,3.130333768,3.077004327,AIADMK,Margin,PMK,828,310,கடையநல்லூர்,இ.ஒ.மு.லீ
157,Krishnarayapuram,1327,35301,3.122870923,4.547787008,AIADMK,Margin,PMK,833,312,கிருஷ்ணராயபுரம்,அ.இ.அ.தி.மு.க
158,Thondamuthur,1315,64041,3.118925753,4.806458105,AIADMK,Margin,PMK,838,314,தொண்டாமுத்தூர்,அ.இ.அ.தி.மு.க
159,Palayamkottai,1315,15872,3.118925753,4.200631655,DMK,Margin,PMK,843,316,பாளையங்கோட்டை,தி.மு.க
160,Ambasamudram,1310,13166,3.117271296,4.119453851,DMK,Margin,PMK,848,318,அம்பசமுத்திரம்,அ.இ.அ.தி.மு.க
161,Sivaganga,1284,6636,3.108565024,3.821906377,DMK,Margin,PMK,853,320,சிவகங்கை,அ.இ.அ.தி.மு.க
162,Kinathukadavu,1265,1332,3.102090526,3.124504225,AIADMK,Margin,PMK,858,322,கிணத்துக்கடவு,அ.இ.அ.தி.மு.க
163,Thiruparankundram,1237,22992,3.0923697,4.361576751,AIADMK,Margin,PMK,863,324,திருப்பரங்குன்றம்,அ.இ.அ.தி.மு.க
164,Tenkasi,1222,462,3.087071206,2.664641976,AIADMK,Margin,PMK,868,326,தென்காசி,அ.இ.அ.தி.மு.க
165,Manachanallur,1212,7522,3.08350262,3.876333329,AIADMK,Margin,PMK,873,328,மண்ணச்சநல்லூர்,அ.இ.அ.தி.மு.க
166,Vasudevanallur,1198,18758,3.078456818,4.273186532,AIADMK,Margin,PMK,878,330,வாசுதேவநல்லூர்,அ.இ.அ.தி.மு.க
167,Natham,1155,2110,3.062581984,3.324282455,DMK,Margin,PMK,883,332,நத்தம்,தி.மு.க
168,Mudhukulathur,1133,13348,3.05422991,4.125416198,AIADMK,Margin,PMK,888,334,முதுகுளத்தூர்,இ.தே.க
169,Srivilliputhur,1119,36673,3.048830087,4.564346438,DMK,Margin,PMK,893,336,திருவில்லிபுத்தூர்,அ.இ.அ.தி.மு.க
170,Madurai East,1113,32772,3.046495164,4.515502946,AIADMK,Margin,PMK,898,338,மதுரை (கிழக்கு),தி.மு.க
171,Coimbatore (South),1111,17419,3.045714059,4.241023219,AIADMK,Margin,PMK,903,340,கோயம்பத்தூர் (தெற்கு),அ.இ.அ.தி.மு.க
172,Tiruppur (South),1093,15933,3.038620162,4.202297556,AIADMK,Margin,PMK,908,342,திருப்பூர் (தெற்கு),அ.இ.அ.தி.மு.க
173,Kovilpatti,1075,428,3.031408464,2.631443769,AIADMK,Margin,PMK,913,344,கோவில்பட்டி,அ.இ.அ.தி.மு.க
174,Rajapalayam,1073,4802,3.030599722,3.681422156,AIADMK,Margin,PMK,918,346,ராஜப்பாளையம்,தி.மு.க
175,Thoothukkudi,1069,20908,3.028977705,4.320312491,INC,Margin,PMK,923,348,தூத்துக்குடி,தி.மு.க
176,Ottapidaram,1066,493,3.027757205,2.692846919,DMK,Margin,PMK,928,350,ஒட்டப்பிடாரம்,அ.இ.அ.தி.மு.க
177,Gobichettipalayam,1045,11223,3.01911629,4.050108963,AIADMK,Margin,PMK,933,352,கோபிசெட்டிப்பாளையம்,அ.இ.அ.தி.மு.க
178,Nagapattinam,1036,20550,3.015359755,4.312811826,AIADMK,Margin,PMK,938,354,நாகப்பட்டினம்,அ.இ.அ.தி.மு.க
179,Periyakulam,1025,14350,3.010723865,4.156851901,AIADMK,Margin,PMK,943,356,பெரியக்குளம்,அ.இ.அ.தி.மு.க
180,Harbour,1011,4836,3.004751156,3.684486292,DMK,Margin,PMK,948,358,துறைமுகம்,தி.மு.க
181,Madurai Central,1007,5762,3.003029471,3.760573254,AIADMK,Margin,PMK,953,360,மதுரை (மத்தி),தி.மு.க
182,Thirumayam,950,766,2.977723605,2.88422877,DMK,Margin,PMK,958,362,திருமயம்,தி.மு.க
183,Madurai West,927,16398,2.967079734,4.214790882,DMK,Margin,PMK,963,364,மதுரை (மேற்கு),அ.இ.அ.தி.மு.க
184,Karaikudi,897,18283,2.952792443,4.262047459,AIADMK,Margin,PMK,968,366,காரைக்குடி,இ.தே.க
185,Kulithalai,870,11896,2.939519253,4.075400956,DMK,Margin,PMK,973,368,குளித்தலை,தி.மு.க
186,Madurai South,864,23763,2.936513742,4.375901268,AIADMK,Margin,PMK,978,370,மதுரை (தெற்கு),அ.இ.அ.தி.மு.க
187,Sholavandan,857,24857,2.932980822,4.395448712,DMK,Margin,PMK,983,372,சோழவந்தான்,அ.இ.அ.தி.மு.க
188,Thirumangalam,843,23590,2.925827575,4.372727941,AIADMK,Margin,PMK,988,374,திருமங்கலம்,அ.இ.அ.தி.மு.க
189,Manapparai,826,18277,2.916980047,4.261904912,AIADMK,Margin,PMK,993,376,மணப்பாறை,அ.இ.அ.தி.மு.க
190,Andipatti,817,30196,2.912222057,4.479949417,AIADMK,Margin,PMK,998,378,ஆண்டிப்பட்டி,அ.இ.அ.தி.மு.க
191,Aruppukkottai,817,18054,2.912222057,4.256573438,DMK,Margin,PMK,1003,380,அரப்புக்கோட்டை,தி.மு.க
192,Srivaikuntam,806,3531,2.906335042,3.547897718,DMK,Margin,PMK,1008,382,ஸ்ரீவைகுண்டம்,அ.இ.அ.தி.மு.க
193,Udhagamandalam,781,10418,2.892651034,4.017784353,INC,Margin,PMK,1013,384,உதகமண்டலம்,இ.தே.க
194,Colachel,772,26028,2.8876173,4.415440798,DMK,Margin,PMK,1018,386,குளச்சல்,இ.தே.க
195,Sattur,768,4427,2.88536122,3.646109522,AIADMK,Margin,PMK,1023,388,சாத்தூர்,அ.இ.அ.தி.மு.க
196,Cumbum,763,11221,2.882524538,4.050031562,AIADMK,Margin,PMK,1028,390,கம்பம்,அ.இ.அ.தி.மு.க
