CONUM,CONAME,MARGIN,NOTA,LOG(MAR),LOG(NOTA),WINPARTY,TYPE1,TYPE2,RECTPOS,INDEX,CONAME_TAMIL,WINPARTY_TAMIL
196,Veppanahalli,5228,1482,3.72,3.17,DMK,Margin,Nota,1028,390,வேப்பனஹள்ளி,தி.மு.க
197,Poompuhar,19935,1478,4.3,3.17,AIADMK,Margin,Nota,1033,392,பூம்புகார்,அ.இ.அ.தி.மு.க
198,Pappireddippatti,12713,1467,4.1,3.17,AIADMK,Margin,Nota,1038,394,பாப்பிரெட்டிப்பட்டி,அ.இ.அ.தி.மு.க
199,Palani,25586,1460,4.41,3.16,DMK,Margin,Nota,1043,396,பழனி,தி.மு.க
200,Srivaikuntam,3531,1457,3.55,3.16,AIADMK,Margin,Nota,1048,398,ஸ்ரீவைகுண்டம்,அ.இ.அ.தி.மு.க
201,Sattur,4427,1455,3.65,3.16,AIADMK,Margin,Nota,1053,400,சாத்தூர்,அ.இ.அ.தி.மு.க
202,Vanur,10223,1430,4.01,3.16,AIADMK,Margin,Nota,1058,402,வானூர்,அ.இ.அ.தி.மு.க
203,Thiruvallur,5138,1418,3.71,3.15,DMK,Margin,Nota,1063,404,திருவள்ளூர்,தி.மு.க
204,Chengam,12691,1403,4.1,3.15,DMK,Margin,Nota,1068,406,செங்கம்,தி.மு.க
205,Nanguneri,17315,1399,4.24,3.15,INC,Margin,Nota,1073,408,நாங்குநேரி,இ.தே.க
206,Vikravandi,6912,1385,3.84,3.14,DMK,Margin,Nota,1078,410,விக்கிரவாண்டி,தி.மு.க
207,Bargur,982,1382,2.99,3.14,AIADMK,Margin,Nota,1083,412,பர்கூர்,அ.இ.அ.தி.மு.க
208,Sirkazhi,9003,1360,3.95,3.13,AIADMK,Margin,Nota,1088,414,சீர்காழி,அ.இ.அ.தி.மு.க
