CONUM,CONAME,MARGIN,3F,LOG(MAR),LOG(3F),WINPARTY,TYPE1,TYPE2,RECTPOS,INDEX,CONAME_TAMIL,WINPARTY_TAMIL
56,Karaikudi,18283,14279,4.262047459,4.154697794,INC,Margin,ThirdFront,328,110,காரைக்குடி,இ.தே.க
57,Rishivandiyam,20503,14239,4.311817412,4.15347949,DMK,Margin,ThirdFront,333,112,ரிஷிவந்தியம்,தி.மு.க
58,Ottapidaram,493,14127,2.692846919,4.150049945,AIADMK,Margin,ThirdFront,338,114,ஒட்டப்பிடாரம்,அ.இ.அ.தி.மு.க
59,Pallavaram,22165,14083,4.345667736,4.148695179,DMK,Margin,ThirdFront,343,116,பல்லாவரம்,தி.மு.க
60,Gandharvakottai,3047,13918,3.483872454,4.143576832,AIADMK,Margin,ThirdFront,348,118,கந்தர்வகோட்டை,அ.இ.அ.தி.மு.க
61,Vasudevanallur,18758,13735,4.273186532,4.137828664,AIADMK,Margin,ThirdFront,353,120,வாசுதேவநல்லூர்,அ.இ.அ.தி.மு.க
62,Killiyoor,46295,13704,4.665534088,4.13684735,INC,Margin,ThirdFront,358,122,கிள்ளியூர்,இ.தே.க
63,Ambasamudram,13166,13690,4.119453851,4.136403448,AIADMK,Margin,ThirdFront,363,124,அம்பசமுத்திரம்,அ.இ.அ.தி.மு.க
64,Sriperumbudur,10716,13679,4.030032705,4.13605435,AIADMK,Margin,ThirdFront,368,126,திருப்பெரும்புதூர்,அ.இ.அ.தி.மு.க
65,Ariyalur,2043,13599,3.310268367,4.133506974,AIADMK,Margin,ThirdFront,373,128,அரியலூர்,அ.இ.அ.தி.மு.க
66,Tiruppur (South),15933,13597,4.202297556,4.133443098,AIADMK,Margin,ThirdFront,378,130,திருப்பூர் (தெற்கு),அ.இ.அ.தி.மு.க
67,Periyakulam,14350,13525,4.156851901,4.131137274,AIADMK,Margin,ThirdFront,383,132,பெரியக்குளம்,அ.இ.அ.தி.மு.க
68,Thiruvottiyur,4863,13463,3.68690427,4.129141846,DMK,Margin,ThirdFront,388,134,திருவொற்றியூர்,தி.மு.க
69,Sankarapuram,14528,13343,4.162205831,4.125253486,DMK,Margin,ThirdFront,393,136,சங்கராப்புரம்,தி.மு.க
70,Mettuppalayam,16114,13324,4.207203359,4.124634624,AIADMK,Margin,ThirdFront,398,138,மேட்டுப்பாளையம்,அ.இ.அ.தி.மு.க
71,Padmanabhapuram,40905,13185,4.611776397,4.120080134,DMK,Margin,ThirdFront,403,140,பத்மனாபபுரம்,தி.மு.க
72,Thiruvarur,68366,13158,4.834840171,4.119189882,DMK,Margin,ThirdFront,408,142,திருவாரூர்,தி.மு.க
73,Thiruverumbur,16695,13155,4.222586423,4.119090852,DMK,Margin,ThirdFront,413,144,திருவெறும்பூர்,தி.மு.க
74,Sulur,36631,13106,4.563848775,4.117470164,AIADMK,Margin,ThirdFront,418,146,சூலூர்,அ.இ.அ.தி.மு.க
75,Colachel,26028,12909,4.415440798,4.110892601,INC,Margin,ThirdFront,423,148,குளச்சல்,இ.தே.க
76,Neyveli,17791,12674,4.25020036,4.102913703,DMK,Margin,ThirdFront,428,150,நெய்வேலி,தி.மு.க
77,Uthangarai,2613,12669,3.41713941,4.102742336,AIADMK,Margin,ThirdFront,433,152,ஊத்தங்கரை,அ.இ.அ.தி.மு.க
